"Participant","Session","Scenario","ldg","app","alt","spd","time","oddball","oddball_RT","oddball_RT_log","oddball_percentage","oddball_percentage_log","TLX","TLX_raw","TLX_weighted","simu_global_perf","workload_global"
"P016",3,"VFR-low",-0.609445913298396,0.527995967480081,-0.936378100696013,-1.53020467900877,-1.64457683317729,1.04580524759661,0.795631441794453,-0.228619213182328,32.9896907216495,3.49619511028444,0.27240190283234,53.3333333333333,65.333309,-0.781252912129657,0.659103575214476
"P017",3,"VFR-low",0.419113249208517,-0.459124486718444,-0.116500500712671,0.164656194388541,-0.54592086369064,-0.881093360008943,0.555406914119771,-0.588054255285645,2.2988505747126,0.832409247893435,-1.07936693829056,35,42.3333275,0.0241118511734247,-0.980230149149752
"P019",3,"VFR-low",-0.0614613693514233,-0.0484116704221449,-0.360609184482294,-0.436821919256513,0.109209063183752,-1.05710832756137,0.595614629540933,-0.518161415779292,0,0,-0.833590785359126,38.3333333333333,40.3333305,-0.135079604387149,-0.945349556460249
"P020",3,"VFR-low",0.892234429316639,0.910215669317953,0.331241279060935,1.81397501866987,-0.44774262200273,-1.12385141042548,0.557971547155255,-0.583447308662091,1.2345679012346,0.210721031315677,0.886842285160937,61.6666666666667,72.666639,0.748047173483559,-0.11850456263227
"P021",3,"VFR-low",0.557958860341339,0.475175485482886,0.629834420743558,-0.413177191732725,0.287805523006262,-0.908828098908936,0.620612844809777,-0.477047829776669,1.1363636363636,0.127833371509851,-1.57091924415344,28.3333333333333,37.666649,0.370129279761533,-1.23987367153119
"P022",3,"VFR-low",-0.785344290538176,-1.05651172895421,-0.0220286617645185,0.18568825609047,0.034711981204885,-0.305094438020688,0.610363718991454,-0.493700238865798,5.4945054945055,1.70374859190534,0.395289979298061,55,62.999988,-0.442858739228776,0.0450977706386863
"P023",3,"VFR-low",0.693648946265435,0.14750667853811,0.140647082695748,-1.02382221805433,0.236637934041274,1.03599611856044,0.820161411087418,-0.198254115305304,27.0588235294118,3.29801314542693,0.763954208695216,60,72.666643,0.202605000089295,0.899975163627828
"P024",3,"VFR-low",0.36498276307314,1.41443551371032,-0.0396928399426277,0.313394118121437,0.254871164037258,0.00204216895997164,0.614262501164635,-0.487332915871568,11.25,2.42036812865043,-1.44803116768772,30,33.333326,0.437444298618214,-0.722994499363872
"P025",3,"VFR-low",-0.315418440810098,0.152055119599517,-0.299563014035983,0.917803074996703,-0.000247922542375573,0.422205344656067,0.727391812481606,-0.318290002360611,11.9565217391304,2.48127688173742,-1.93958347355059,23.3333333333333,27.3333155,-0.0106602876213601,-0.758689064447263
"P026",3,"VFR-low",1.07638454291684,2.04531184148954,1.25798989656699,-0.282888148096962,0.239967525674742,0.718939718639771,0.853783614546303,-0.158077496050788,9.8765432098765,2.29016257299548,0.210957864599483,52.5,66.33332,0.919610984511883,0.464948791619627
"P027",3,"VFR-low",0.358594710665226,-0.0190143274434493,1.16316498652227,1.4000674179846,-0.132951254418395,0.175930824336704,0.742401081245762,-0.297865641091808,5.81395348837211,1.76026080216869,0.825398246928073,60.8333333333333,65.3333685,0.505127907662845,0.500664535632388
"P028",3,"VFR-low",-0.648788164770065,-1.22918561884313,0.206011152340257,-0.737645546585955,-0.534525048392647,0.8320976010486,0.775178623656923,-0.254661794047752,22.680412371134,3.12150166084302,-0.0962623265648155,48.3333333333333,56.9999745,-0.603817025130248,0.367917637241892
"P029",3,"VFR-low",0.162950550235577,0.0898639894903192,0.593585138549669,1.21205959300076,0.16349640421935,-1.46875528951531,0.48351309719709,-0.726676876147314,1.2048192771084,0.186329578191465,0.886842285160937,61.6666666666667,71.6666445,0.374030988883245,-0.290956502177188
"P030",3,"VFR-low",0.023684103283157,-0.275870934411783,0.510822442619167,0.464234131686733,-0.43190421354319,-1.33813750952236,0.528173092718634,-0.638331221880819,0,0,-0.710702708893405,40,42.333302,0.049565855265902,-1.02442010920788
"P031",3,"VFR-low",-1.18101967218987,-1.51574043606991,0.198033991753546,-0.0763148046079057,-0.290364021880066,0.064355105877419,0.623353899554831,-0.472640864407671,12.0481927710843,2.48891467118554,0.702510170462359,59.1666666666667,69.6666565,-0.725065659496597,0.383432638169889
